"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeamId","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"4688380","107910","2390","Miami","ACC","10","Tennessee","2025","1","1","1","Cam Ward","Quarterback","74","219","8","1","92","West Columbia","TX","USA","29.1438582","-95.6452249","48039"
"4685415","109188","38","Colorado","Big 12","30","Jacksonville","2025","2","1","2","Travis Hunter","Cornerback","72","188","2","1","94","Suwanee","GA","USA","34.0514898","-84.0712997","13135"
"4725996","109198","213","Penn State","Big Ten","19","New York","2025","3","1","3","Abdul Carter","Defensive Edge","75","250","1","1","94","Philadelphia","PA","USA","39.9527237","-75.1635262","42101"
"4685298","109195","99","LSU","SEC","17","New England","2025","4","1","4","Will Campbell","Offensive Tackle","78","319","14","2","91","Monroe","LA","USA","32.5093109","-92.1193012","22073"
"4873232","109186","130","Michigan","Big Ten","5","Cleveland","2025","5","1","5","Mason Graham","Defensive Tackle","76","296","5","1","93","Anaheim","CA","USA","33.8347516","-117.911732","06059"
"4890973","109201","68","Boise State","Mountain West","13","Las Vegas","2025","6","1","6","Ashton Jeanty","Running Back","69","211","3","1","93","Jacksonville","FL","USA","30.3321838","-81.655651","12031"
"4789907","109329","142","Missouri","SEC","20","New York","2025","7","1","7","Armand Membou","Offensive Tackle","76","332","9","1","91","Lee's Summit","MO","USA","38.9107156","-94.3821295","29095"
"4685472","109190","12","Arizona","Big 12","29","Carolina","2025","8","1","8","Tetairoa McMillan","Wide Receiver","76","219","13","1","91","Anaheim","CA","USA","33.8347516","-117.911732","06059"
"4685260","109191","251","Texas","SEC","18","New Orleans","2025","9","1","9","Kelvin Banks Jr.","Offensive Tackle","77","315","26","4","88","Humble","TX","USA","29.9988312","-95.2621553","48201"
"4723086","109216","130","Michigan","Big Ten","3","Chicago","2025","10","1","10","Colston Loveland","Tight End","78","248","7","2","92","Gooding","ID","USA","42.9389067","-114.7131938","16047"
"4685623","109194","61","Georgia","SEC","25","San Francisco","2025","11","1","11","Mykel Williams","Defensive Edge","77","260","12","3","91","Columbus","GA","USA","32.4609764","-84.9877094","13215"
"4685263","109239","333","Alabama","SEC","6","Dallas","2025","12","1","12","Tyler Booker","Offensive Guard","77","321","51","2","85","New Haven","CT","USA","41.3082138","-72.9250518","09009"
"4894654","109214","130","Michigan","Big Ten","15","Miami","2025","13","1","13","Kenneth Grant","Defensive Tackle","76","331","27","4","88","Merrillville","IN","USA","41.4828144","-87.3328139","18089"
"4431459","109258","213","Penn State","Big Ten","11","Indianapolis","2025","14","1","14","Tyler Warren","Tight End","78","256","6","1","93","Mechanicsville","VA","USA","37.6193174","-77.3369627","51085"
"4685597","109211","61","Georgia","SEC","1","Atlanta","2025","15","1","15","Jalon Walker","Linebacker","73","243","4","2","93","Salisbury","NC","USA","35.6709727","-80.4742261","37159"
"4685503","109220","145","Ole Miss","SEC","22","Arizona","2025","16","1","16","Walter Nolen","Defensive Tackle","76","296","17","3","90","Powell","TN","USA","36.0317472","-84.0279677","47093"
"4685562","109295","245","Texas A&M","SEC","4","Cincinnati","2025","17","1","17","Shemar Stewart","Defensive Edge","77","267","22","6","89","Miramar","FL","USA","25.975911449999998","-80.33472128115224","12011"
"4693346","109324","2449","North Dakota State","MVFC","26","Seattle","2025","18","1","18","Grey Zabel","Offensive Guard","78","312","33","1","87","Pierre","SD","USA","44.368305","-100.351185","46065"
"4567750","109232","194","Ohio State","Big Ten","27","Tampa Bay","2025","19","1","19","Emeka Egbuka","Wide Receiver","73","202","40","4","87","Steilacoom","WA","USA","47.1703692","-122.5962874","53053"
"4430925","109246","251","Texas","SEC","7","Denver","2025","20","1","20","Jahdae Barron","Cornerback","71","194","11","3","91","Pflugerville","TX","USA","30.4393696","-97.6200043","48453"
"4682980","109215","2483","Oregon","Big Ten","23","Pittsburgh","2025","21","1","21","Derrick Harmon","Defensive Tackle","77","313","15","2","91","Detroit","MI","USA","42.3315509","-83.0466403","26163"
"4685382","109208","153","North Carolina","ACC","24","Los Angeles","2025","22","1","22","Omarion Hampton","Running Back","72","221","21","2","90","Clayton","NC","USA","35.650711","-78.4563914","37101"
"4701936","109383","251","Texas","SEC","9","Green Bay","2025","23","1","23","Matthew Golden","Wide Receiver","71","191","23","2","89","Houston","TX","USA","29.7589382","-95.3676974","48201"
"4431553","109244","194","Ohio State","Big Ten","16","Minnesota","2025","24","1","24","Donovan Jackson","Offensive Guard","76","315","55","4","84","Bellaire","TX","USA","29.7057858","-95.4588299","48201"
"4689114","109275","145","Ole Miss","SEC","19","New York","2025","25","1","25","Jaxson Dart","Quarterback","74","223","39","3","87","Kaysville","UT","USA","41.0349847","-111.9383931","49011"
"5081394","109189","2633","Tennessee","SEC","1","Atlanta","2025","26","1","26","James Pearce Jr.","Defensive Edge","77","245","16","4","90","Charlotte","NC","USA","35.2272","-80.843083","37119"
"4685530","109197","61","Georgia","SEC","33","Baltimore","2025","27","1","27","Malaki Starks","Safety","73","197","34","2","87","Jefferson","GA","USA","34.1170537","-83.5723876","13157"
"4431615","109202","194","Ohio State","Big Ten","8","Detroit","2025","28","1","28","Tyleik Williams","Defensive Tackle","75","334","59","8","83","Manassas","VA","USA","38.7509488","-77.4752667","51683"
